states,replicates,median_synthesis_ms,median_state_retention,median_transition_retention,median_fixpoint_iterations,median_precursor_vulnerability_fraction
25,30,0.05000499993457197,0.96,0.9128787878787878,1.0,0.0
50,30,0.12474250002014742,0.94,0.896887159533074,2.0,0.04
100,30,0.32862899990959704,0.905,0.834319526627219,3.0,0.065
250,30,1.145242000120561,0.906,0.8261734287987271,4.0,0.068
500,30,3.5836145000303077,0.887,0.7969684882329477,6.0,0.083
1000,30,8.042024500127809,0.891,0.8055721989215099,6.0,0.0815
2000,30,22.29179000005388,0.8887499999999999,0.7998900769461377,8.0,0.08325
