components,monolithic_states,pruned_states,monolithic_transitions,pruned_transitions,monolithic_winning,compositional_winning,monolithic_ms,compositional_ms,equivalent,local_sizes,speedup,family,state_reduction,transition_reduction,coupling_forbidden_states,winning_tuple_count
2,49,36,98,72,35,35,0.2596819999780564,0.25418399991394836,True,6;6,1.0216300005742665,shared_authority,0.26530612244897955,0.26530612244897955,14,35
3,343,216,1029,648,200,200,2.5055650003196206,1.9596499996623606,True,6;6;6,1.2785778076448953,shared_authority,0.3702623906705539,0.3702623906705539,143,200
4,2401,1296,9604,5184,1125,1125,21.41431800009741,15.012729000318359,True,6;6;6;6,1.4264107478156236,shared_authority,0.4602249062890462,0.4602249062890462,1276,1125
5,16807,7776,84035,38880,6250,6250,200.93050100012988,123.07501499981299,True,6;6;6;6;6,1.6325856308076434,shared_authority,0.5373356339620396,0.5373356339620396,10557,6250
